"日付","市区町村","全人口","全人口接種1回目","全人口接種2回目","全人口接種率1回目","全人口接種率2回目","高齢者人口","高齢者接種1回目","高齢者接種2回目","高齢者接種率1回目","高齢者接種率2回目"
2021/09/13,南城市,44924,24461,19134,54.45,42.59,11454,10123,9820,88.38,85.73
2021/09/13,国頭村,4581,3134,2706,68.41,59.07,1632,1500,1448,91.91,88.73
2021/09/13,大宜味村,3051,2138,1878,70.08,61.55,1180,1061,1026,89.92,86.95
2021/09/13,東村,1717,1296,1248,75.48,72.68,617,590,581,95.62,94.17
2021/09/13,今帰仁村,9322,5949,4232,63.82,45.40,3079,2791,2659,90.65,86.36
2021/09/13,本部町,13153,7387,5815,56.16,44.21,4177,3720,3507,89.06,83.96
2021/09/13,恩納村,11050,6823,5945,61.75,53.80,2686,2412,2357,89.80,87.75
2021/09/13,宜野座村,6140,3571,3030,58.16,49.35,1487,1339,1280,90.05,86.08
2021/09/13,金武町,11450,6288,5472,54.92,47.79,3057,2611,2566,85.41,83.94
2021/09/13,伊江村,4449,3326,2982,74.76,67.03,1530,1405,1345,91.83,87.91
2021/09/13,読谷村,41642,22176,17615,53.25,42.30,9144,7855,7347,85.90,80.35
2021/09/13,嘉手納町,13409,6860,4940,51.16,36.84,3233,2789,2675,86.27,82.74
2021/09/13,北谷町,28850,14023,11055,48.61,38.32,5910,5069,4723,85.77,79.92
2021/09/13,北中城村,17821,9052,6707,50.79,37.64,3985,3380,3237,84.82,81.23
2021/09/13,中城村,22046,11532,9013,52.31,40.88,4266,3809,3655,89.29,85.68
2021/09/13,西原町,35454,20208,15704,57.00,44.29,7724,6960,6725,90.11,87.07
2021/09/13,与那原町,20117,10749,9196,53.43,45.71,4126,3567,3477,86.45,84.27
2021/09/13,南風原町,40375,19471,14094,48.23,34.91,7518,6733,6565,89.56,87.32
2021/09/13,渡嘉敷村,718,487,469,67.83,65.32,161,157,154,97.52,95.65
2021/09/13,座間味村,897,643,632,71.68,70.46,220,203,204,92.27,92.73
2021/09/13,粟国村,684,501,486,73.25,71.05,256,237,230,92.58,89.84
2021/09/13,渡名喜村,342,273,265,79.82,77.49,157,131,127,83.44,80.89
2021/09/13,南大東村,1224,934,925,76.31,75.57,313,292,291,93.29,92.97
2021/09/13,北大東村,561,421,414,75.04,73.80,121,117,114,96.69,94.21
2021/09/13,伊平屋村,1200,903,893,75.25,74.42,355,347,343,97.75,96.62
2021/09/13,伊是名村,1322,981,851,74.21,64.37,427,397,380,92.97,88.99
2021/09/13,久米島町,7652,5710,5524,74.62,72.19,2309,2156,2128,93.37,92.16
2021/09/13,八重瀬町,31882,15098,11710,47.36,36.73,6951,6247,6046,89.87,86.98
2021/09/13,多良間村,1091,871,835,79.84,76.54,349,336,329,96.28,94.27
2021/09/13,竹富町,4262,2892,2755,67.86,64.64,986,919,903,93.20,91.58
2021/09/13,与那国町,1680,1054,1035,62.74,61.61,371,335,331,90.30,89.22
2021/09/14,（全国）,126645025,72419808,58165685,57.18,45.93,35767994,32120333,31541142,89.80,88.18
2021/09/14,（沖縄県）,1485118,767383,588560,51.67,39.63,331973,286318,275687,86.25,83.05
2021/09/14,那覇市,320467,168440,123815,52.56,38.64,75542,62711,60538,83.01,80.14
2021/09/14,宜野湾市,100462,41825,30227,41.63,30.09,19711,16346,15790,82.93,80.11
2021/09/14,石垣市,49848,30283,28769,60.75,57.71,11031,9951,9948,90.21,90.18
2021/09/14,浦添市,115548,59008,44534,51.07,38.54,23218,19846,18936,85.48,81.56
2021/09/14,名護市,63724,32337,25086,50.75,39.37,14379,12804,12382,89.05,86.11
2021/09/14,糸満市,62349,28091,21642,45.05,34.71,13448,11517,11201,85.64,83.29
2021/09/14,沖縄市,142973,66082,46457,46.22,32.49,29494,25376,24061,86.04,81.58
2021/09/14,豊見城市,65766,30065,23502,45.72,35.74,12590,10709,10497,85.06,83.38
2021/09/14,うるま市,125338,64548,42005,51.50,33.51,28112,24112,22742,85.77,80.90
2021/09/14,宮古島市,55577,36738,32607,66.10,58.67,14667,13332,12927,90.90,88.14
2021/09/14,南城市,44924,24540,19203,54.63,42.75,11454,10132,9835,88.46,85.87
2021/09/14,国頭村,4581,3135,2708,68.43,59.11,1632,1501,1451,91.97,88.91
2021/09/14,大宜味村,3051,2139,1888,70.11,61.88,1180,1061,1027,89.92,87.03
2021/09/14,東村,1717,1300,1250,75.71,72.80,617,592,582,95.95,94.33
2021/09/14,今帰仁村,9322,5956,4239,63.89,45.47,3079,2792,2659,90.68,86.36
2021/09/14,本部町,13153,7476,5841,56.84,44.41,4177,3724,3511,89.15,84.06
2021/09/14,恩納村,11050,6899,6019,62.43,54.47,2686,2416,2364,89.95,88.01
2021/09/14,宜野座村,6140,3571,3034,58.16,49.41,1487,1339,1280,90.05,86.08
2021/09/14,金武町,11450,6293,5475,54.96,47.82,3057,2612,2567,85.44,83.97
2021/09/14,伊江村,4449,3331,2985,74.87,67.09,1530,1405,1346,91.83,87.97
2021/09/14,読谷村,41642,22214,17835,53.35,42.83,9144,7858,7367,85.94,80.57
2021/09/14,嘉手納町,13409,6886,4956,51.35,36.96,3233,2792,2675,86.36,82.74
2021/09/14,北谷町,28850,14077,11186,48.79,38.77,5910,5074,4727,85.85,79.98
2021/09/14,北中城村,17821,9075,6727,50.92,37.75,3985,3381,3239,84.84,81.28
2021/09/14,中城村,22046,11641,9969,52.80,45.22,4266,3816,3680,89.45,86.26
2021/09/14,西原町,35454,20038,15687,56.52,44.25,7724,6928,6706,89.69,86.82
2021/09/14,与那原町,20117,10773,9356,53.55,46.51,4126,3567,3484,86.45,84.44
2021/09/14,南風原町,40375,19768,14568,48.96,36.08,7518,6742,6572,89.68,87.42
2021/09/14,渡嘉敷村,718,487,469,67.83,65.32,161,157,154,97.52,95.65
2021/09/14,座間味村,897,643,633,71.68,70.57,220,203,205,92.27,93.18
2021/09/14,粟国村,684,501,486,73.25,71.05,256,237,230,92.58,89.84
2021/09/14,渡名喜村,342,273,265,79.82,77.49,157,131,127,83.44,80.89
2021/09/14,南大東村,1224,934,925,76.31,75.57,313,292,291,93.29,92.97
2021/09/14,北大東村,561,421,414,75.04,73.80,121,117,114,96.69,94.21
2021/09/14,伊平屋村,1200,903,893,75.25,74.42,355,347,343,97.75,96.62
2021/09/14,伊是名村,1322,981,851,74.21,64.37,427,397,380,92.97,88.99
2021/09/14,久米島町,7652,5718,5556,74.73,72.61,2309,2158,2131,93.46,92.29
2021/09/14,八重瀬町,31882,15174,11871,47.59,37.23,6951,6252,6054,89.94,87.10
2021/09/14,多良間村,1091,871,835,79.84,76.54,349,336,329,96.28,94.27
2021/09/14,竹富町,4262,2894,2756,67.90,64.66,986,920,904,93.31,91.68
2021/09/14,与那国町,1680,1054,1036,62.74,61.67,371,335,331,90.30,89.22
2021/09/15,（全国）,126645025,73155497,58873812,57.76,46.49,35767994,32145843,31575136,89.87,88.28
2021/09/15,（沖縄県）,1485118,776967,596025,52.32,40.13,331973,286838,276272,86.40,83.22
2021/09/15,那覇市,320467,172256,125578,53.75,39.19,75542,62851,60596,83.20,80.21
2021/09/15,宜野湾市,100462,42541,30672,42.35,30.53,19711,16384,15809,83.12,80.20
2021/09/15,石垣市,49848,30320,28807,60.82,57.79,11031,9955,9954,90.25,90.24
2021/09/15,浦添市,115548,59387,44947,51.40,38.90,23218,19860,18966,85.54,81.69
2021/09/15,名護市,63724,32485,25823,50.98,40.52,14379,12821,12426,89.16,86.42
2021/09/15,糸満市,62349,28683,21910,46.00,35.14,13448,11542,11221,85.83,83.44
2021/09/15,沖縄市,142973,67211,47504,47.01,33.23,29494,25537,24302,86.58,82.40
2021/09/15,豊見城市,65766,30408,23776,46.24,36.15,12590,10721,10503,85.15,83.42
2021/09/15,うるま市,125338,65378,43033,52.16,34.33,28112,24152,22819,85.91,81.17
2021/09/15,宮古島市,55577,36789,32702,66.19,58.84,14667,13339,12938,90.95,88.21
2021/09/15,南城市,44924,24731,19418,55.05,43.22,11454,10143,9847,88.55,85.97
2021/09/15,国頭村,4581,3206,2777,69.98,60.62,1632,1503,1452,92.10,88.97
2021/09/15,大宜味村,3051,2143,1893,70.24,62.05,1180,1061,1028,89.92,87.12
2021/09/15,東村,1717,1301,1251,75.77,72.86,617,592,582,95.95,94.33
2021/09/15,今帰仁村,9322,5959,4245,63.92,45.54,3079,2793,2660,90.71,86.39
2021/09/15,本部町,13153,7559,5864,57.47,44.58,4177,3728,3513,89.25,84.10
2021/09/15,恩納村,11050,6905,6060,62.49,54.84,2686,2417,2369,89.99,88.20
2021/09/15,宜野座村,6140,3576,3039,58.24,49.50,1487,1339,1281,90.05,86.15
2021/09/15,金武町,11450,6315,5490,55.15,47.95,3057,2618,2569,85.64,84.04
2021/09/15,伊江村,4449,3335,2989,74.96,67.18,1530,1405,1346,91.83,87.97
2021/09/15,読谷村,41642,22242,17900,53.41,42.99,9144,7860,7372,85.96,80.62
2021/09/15,嘉手納町,13409,6908,4991,51.52,37.22,3233,2792,2678,86.36,82.83
2021/09/15,北谷町,28850,14522,11590,50.34,40.17,5910,5096,4747,86.23,80.32
2021/09/15,北中城村,17821,9239,6797,51.84,38.14,3985,3384,3242,84.92,81.36
2021/09/15,中城村,22046,11667,9996,52.92,45.34,4266,3816,3681,89.45,86.29
2021/09/15,西原町,35454,20175,15823,56.90,44.63,7724,6929,6712,89.71,86.90
2021/09/15,与那原町,20117,10836,9444,53.86,46.95,4126,3570,3486,86.52,84.49
2021/09/15,南風原町,40375,19958,14650,49.43,36.28,7518,6743,6574,89.69,87.44
2021/09/15,渡嘉敷村,718,488,469,67.97,65.32,161,157,154,97.52,95.65
2021/09/15,座間味村,897,643,635,71.68,70.79,220,203,205,92.27,93.18
2021/09/15,粟国村,684,501,486,73.25,71.05,256,237,230,92.58,89.84
2021/09/15,渡名喜村,342,273,266,79.82,77.78,157,131,127,83.44,80.89
2021/09/15,南大東村,1224,934,925,76.31,75.57,313,292,291,93.29,92.97
2021/09/15,北大東村,561,421,414,75.04,73.80,121,117,114,96.69,94.21
2021/09/15,伊平屋村,1200,903,893,75.25,74.42,355,347,343,97.75,96.62
2021/09/15,伊是名村,1322,982,851,74.28,64.37,427,397,380,92.97,88.99
2021/09/15,久米島町,7652,5718,5558,74.73,72.63,2309,2158,2131,93.46,92.29
2021/09/15,八重瀬町,31882,15246,11932,47.82,37.43,6951,6256,6060,90.00,87.18
2021/09/15,多良間村,1091,873,835,80.02,76.54,349,336,329,96.28,94.27
2021/09/15,竹富町,4262,2896,2756,67.95,64.66,986,921,904,93.41,91.68
2021/09/15,与那国町,1680,1054,1036,62.74,61.67,371,335,331,90.30,89.22
2021/09/20,（沖縄県）,1485118,849226,653869,57.18,44.03,1286886,65.99,50.81
2021/09/20,那覇市,320467,191230,138623,59.67,43.26,283064,67.56,48.97
2021/09/20,宜野湾市,100462,48844,33538,48.62,33.38,86483,56.48,38.78
